,title,page_link,writer,script_link,script_downloaded
96,Arbitrage,https://imsdb.com/Movie%20Scripts/Arbitrage%20Script.html,Written by Nicholas Jarecki,https://imsdb.com/scripts/Arbitrage.html,Yes
97,Arcade,https://imsdb.com/Movie%20Scripts/Arcade%20Script.html,Written by David S. Goyer,https://imsdb.com/scripts/Arcade.html,Yes
98,Arctic Blue,https://imsdb.com/Movie%20Scripts/Arctic%20Blue%20Script.html,Written by Ross LaManna,https://imsdb.com/scripts/Arctic-Blue.html,Yes
99,Argo,https://imsdb.com/Movie%20Scripts/Argo%20Script.html,Written by Chris Terrio,https://imsdb.com/scripts/Argo.html,Yes
100,Armageddon,https://imsdb.com/Movie%20Scripts/Armageddon%20Script.html,"Written by Jonathan Hensleigh,J.J. Abrams",https://imsdb.com/scripts/Armageddon.html,Yes
101,Army of Darkness,https://imsdb.com/Movie%20Scripts/Army%20of%20Darkness%20Script.html,"Written by Sam Raimi,Ivan Raimi",https://imsdb.com/scripts/Army-of-Darkness.html,Yes
102,Arsenic and Old Lace,https://imsdb.com/Movie%20Scripts/Arsenic%20and%20Old%20Lace%20Script.html,"Written by Julius J. Epstein,Philip G. Epstein,Joseph Kesselring",https://imsdb.com/scripts/Arsenic-and-Old-Lace.html,Yes
103,Arthur,https://imsdb.com/Movie%20Scripts/Arthur%20Script.html,Written by Peter Baynham,https://imsdb.com/scripts/Arthur.html,Yes
104,"Artist, The","https://imsdb.com/Movie%20Scripts/Artist,%20The%20Script.html",Written by Michel Hazanavicius,"https://imsdb.com/scripts/Artist,-The.html",Yes
105,As Good As It Gets,https://imsdb.com/Movie%20Scripts/As%20Good%20As%20It%20Gets%20Script.html,"Written by Mark Andrus,James L. Brooks",https://imsdb.com/scripts/As-Good-As-It-Gets.html,Yes
106,Assassins,https://imsdb.com/Movie%20Scripts/Assassins%20Script.html,"Written by Larry Wachowski,Andy Wachowski",https://imsdb.com/scripts/Assassins.html,Yes
107,"Assignment, The","https://imsdb.com/Movie%20Scripts/Assignment,%20The%20Script.html","Written by Dan Gordon,Sabi H. Shabtai","https://imsdb.com/scripts/Assignment,-The.html",Yes
108,At First Sight,https://imsdb.com/Movie%20Scripts/At%20First%20Sight%20Script.html,"Written by Oliver Sacks,Steve Levitt,Irwin Winkler,Rob Cowan",https://imsdb.com/scripts/At-First-Sight.html,Yes
109,August: Osage County,https://imsdb.com/Movie%20Scripts/August:%20Osage%20County%20Script.html,Written by Tracy Letts,https://imsdb.com/scripts/August-Osage-County.html,Yes
110,Austin Powers - International Man of Mystery,https://imsdb.com/Movie%20Scripts/Austin%20Powers%20-%20International%20Man%20of%20Mystery%20Script.html,Written by Mike Myers,https://imsdb.com/scripts/Austin-Powers---International-Man-of-Mystery.html,Yes
111,Austin Powers - The Spy Who Shagged Me,https://imsdb.com/Movie%20Scripts/Austin%20Powers%20-%20The%20Spy%20Who%20Shagged%20Me%20Script.html,Written by Mike Myers,https://imsdb.com/scripts/Austin-Powers---The-Spy-Who-Shagged-Me.html,Yes
112,Authors Anonymous,https://imsdb.com/Movie%20Scripts/Authors%20Anonymous%20Script.html,Written by David Congalton,https://imsdb.com/scripts/Authors-Anonymous.html,Yes
113,Autumn in New York,https://imsdb.com/Movie%20Scripts/Autumn%20in%20New%20York%20Script.html,Written by Allison Burnett,https://imsdb.com/scripts/Autumn-in-New-York.html,Yes
