,title,page_link,writer,script_link
622,Jaws 2,https://imsdb.com/Movie%20Scripts/Jaws%202%20Script.html,"Written by Carl Gottlieb,Howard Sackler",https://imsdb.com/scripts/Jaws-2.html
623,Jay and Silent Bob Strike Back,https://imsdb.com/Movie%20Scripts/Jay%20and%20Silent%20Bob%20Strike%20Back%20Script.html,Written by Kevin Smith,https://imsdb.com/scripts/Jay-and-Silent-Bob-Strike-Back.html
624,Jennifer Eight,https://imsdb.com/Movie%20Scripts/Jennifer%20Eight%20Script.html,Written by Bruce Robinson,https://imsdb.com/scripts/Jennifer-Eight.html
625,Jennifer's Body,https://imsdb.com/Movie%20Scripts/Jennifer's%20Body%20Script.html,Written by Diablo Cody,https://imsdb.com/scripts/Jennifer's-Body.html
626,Jerry Maguire,https://imsdb.com/Movie%20Scripts/Jerry%20Maguire%20Script.html,Written by Cameron Crowe,https://imsdb.com/scripts/Jerry-Maguire.html
627,Jeux Interdits,https://imsdb.com/Movie%20Scripts/Jeux%20Interdits%20Script.html,"Written by Jean Aurenche,Pierre Bost,Fran�ois Boyer,Ren� Cl�ment",https://imsdb.com/scripts/Jeux-Interdits.html
628,JFK,https://imsdb.com/Movie%20Scripts/JFK%20Script.html,"Written by Jim Marrs,Jim Garrison,Oliver Stone,Zachary Sklar",https://imsdb.com/scripts/JFK.html
629,Jimmy and Judy,https://imsdb.com/Movie%20Scripts/Jimmy%20and%20Judy%20Script.html,"Written by Randall Rubin,Jon Schroder",https://imsdb.com/scripts/Jimmy-and-Judy.html
630,John Q,https://imsdb.com/Movie%20Scripts/John%20Q%20Script.html,Written by James Kearns,https://imsdb.com/scripts/John-Q.html
631,John Wick,https://imsdb.com/Movie%20Scripts/John%20Wick%20Script.html,Written by Derek Kolstad,https://imsdb.com/scripts/John-Wick.html
632,Jojo Rabbit,https://imsdb.com/Movie%20Scripts/Jojo%20Rabbit%20Script.html,"Written by Christine Leunens,Taika Waititi",https://imsdb.com/scripts/Jojo-Rabbit.html
633,Joker,https://imsdb.com/Movie%20Scripts/Joker%20Script.html,"Written by Todd Phillips,Scott Silver",https://imsdb.com/scripts/Joker.html
634,Judge Dredd,https://imsdb.com/Movie%20Scripts/Judge%20Dredd%20Script.html,Written by Steven E. de Souza,https://imsdb.com/scripts/Judge-Dredd.html
635,Juno,https://imsdb.com/Movie%20Scripts/Juno%20Script.html,Written by Diablo Cody,https://imsdb.com/scripts/Juno.html
636,Jurassic Park,https://imsdb.com/Movie%20Scripts/Jurassic%20Park%20Script.html,Written by David Koepp,https://imsdb.com/scripts/Jurassic-Park.html
637,Jurassic Park III,https://imsdb.com/Movie%20Scripts/Jurassic%20Park%20III%20Script.html,"Written by Peter Buchman,Alexander Payne,John August,Jim Taylor",https://imsdb.com/scripts/Jurassic-Park-III.html
638,Jurassic Park: The Lost World,https://imsdb.com/Movie%20Scripts/Jurassic%20Park:%20The%20Lost%20World%20Script.html,Written by David Koepp,https://imsdb.com/scripts/Jurassic-Park-The-Lost-World.html
639,Kafka,https://imsdb.com/Movie%20Scripts/Kafka%20Script.html,Written by Lem Dobbs,https://imsdb.com/scripts/Kafka.html
640,Kalifornia,https://imsdb.com/Movie%20Scripts/Kalifornia%20Script.html,Written by Tim Metcalfe,https://imsdb.com/scripts/Kalifornia.html
641,Kate & Leopold,https://imsdb.com/Movie%20Scripts/Kate%20&%20Leopold%20Script.html,"Written by James Mangold,Steven Rogers",https://imsdb.com/scripts/
642,Kids,https://imsdb.com/Movie%20Scripts/Kids%20Script.html,"Written by Larry Clark,Harmony Korine",https://imsdb.com/scripts/Kids.html
643,"Kids Are All Right, The","https://imsdb.com/Movie%20Scripts/Kids%20Are%20All%20Right,%20The%20Script.html","Written by Lisa Cholodenko,Stuart Blumberg","https://imsdb.com/scripts/Kids-Are-All-Right,-The.html"
644,Kill Bill Volume 1 & 2,https://imsdb.com/Movie%20Scripts/Kill%20Bill%20Volume%201%20&%202%20Script.html,Written by Quentin Tarantino,https://imsdb.com/scripts/
645,Kill Your Darlings,https://imsdb.com/Movie%20Scripts/Kill%20Your%20Darlings%20Script.html,"Written by John Krokidas,Austin Bunn",https://imsdb.com/scripts/Kill-Your-Darlings.html
646,Killers of the Flower Moon,https://imsdb.com/Movie%20Scripts/Killers%20of%20the%20Flower%20Moon%20Script.html,"Written by Eric Roth,Martin Scorsese,David Grann",https://imsdb.com/scripts/Killers-of-the-Flower-Moon.html
647,Killing Zoe,https://imsdb.com/Movie%20Scripts/Killing%20Zoe%20Script.html,Written by Roger Avary,https://imsdb.com/scripts/Killing-Zoe.html
648,King Kong,https://imsdb.com/Movie%20Scripts/King%20Kong%20Script.html,"Written by Fran Walsh,Philippa Boyens,Peter Jackson",https://imsdb.com/scripts/King-Kong.html
649,"King of Comedy, The","https://imsdb.com/Movie%20Scripts/King%20of%20Comedy,%20The%20Script.html",Written by Paul D. Zimmerman,"https://imsdb.com/scripts/King-of-Comedy,-The.html"
650,"King's Speech, The","https://imsdb.com/Movie%20Scripts/King's%20Speech,%20The%20Script.html",Written by David Seidler,"https://imsdb.com/scripts/King's-Speech,-The.html"
651,"Kingdom, The","https://imsdb.com/Movie%20Scripts/Kingdom,%20The%20Script.html",Written by Matthew Michael Carnahan,"https://imsdb.com/scripts/Kingdom,-The.html"
652,Kiss of the Spider Woman,https://imsdb.com/Movie%20Scripts/Kiss%20of%20the%20Spider%20Woman%20Script.html,Written by Leonard Schrader,https://imsdb.com/scripts/Kiss-of-the-Spider-Woman.pdf
653,Klute,https://imsdb.com/Movie%20Scripts/Klute%20Script.html,"Written by Andy Lewis,David Lewis",https://imsdb.com/scripts/Klute.html
654,Knocked Up,https://imsdb.com/Movie%20Scripts/Knocked%20Up%20Script.html,Written by Judd Apatow,https://imsdb.com/scripts/Knocked-Up.html
655,Kramer vs Kramer,https://imsdb.com/Movie%20Scripts/Kramer%20vs%20Kramer%20Script.html,Written by Robert Benton,https://imsdb.com/scripts/Kramer-vs-Kramer.html
656,Kundun,https://imsdb.com/Movie%20Scripts/Kundun%20Script.html,Written by Melissa Mathison,https://imsdb.com/scripts/Kundun.html
657,Kung Fu Panda,https://imsdb.com/Movie%20Scripts/Kung%20Fu%20Panda%20Script.html,"Written by Jonathan Aibel,Glenn Berger",https://imsdb.com/scripts/Kung-Fu-Panda.html
658,L.A. Confidential,https://imsdb.com/Movie%20Scripts/L.A.%20Confidential%20Script.html,Written by Brian Helgeland,https://imsdb.com/scripts/L.A.-Confidential.html
659,La La Land,https://imsdb.com/Movie%20Scripts/La%20La%20Land%20Script.html,Written by Damien Chazelle,https://imsdb.com/scripts/La-La-Land.html
660,Labor of Love,https://imsdb.com/Movie%20Scripts/Labor%20of%20Love%20Script.html,Written by M. Night Shyamalan,https://imsdb.com/scripts/Labor-of-Love.html
661,Labyrinth,https://imsdb.com/Movie%20Scripts/Labyrinth%20Script.html,"Written by Dennis Lee,Jim Henson,Terry Jones,Elaine May",https://imsdb.com/scripts/Labyrinth.html
662,"Ladykillers, The","https://imsdb.com/Movie%20Scripts/Ladykillers,%20The%20Script.html","Written by William Rose,Joel Coen,Ethan Coen","https://imsdb.com/scripts/Ladykillers,-The.html"
663,Lake Placid,https://imsdb.com/Movie%20Scripts/Lake%20Placid%20Script.html,Written by David E Kelley,https://imsdb.com/scripts/Lake-Placid.html
664,Land of the Dead,https://imsdb.com/Movie%20Scripts/Land%20of%20the%20Dead%20Script.html,Written by George A. Romero,https://imsdb.com/scripts/Land-of-the-Dead.html
665,Larry Crowne,https://imsdb.com/Movie%20Scripts/Larry%20Crowne%20Script.html,Written by Tom Hanks,https://imsdb.com/scripts/Larry-Crowne.html
666,"Last Boy Scout, The","https://imsdb.com/Movie%20Scripts/Last%20Boy%20Scout,%20The%20Script.html",Written by Shane Black,"https://imsdb.com/scripts/Last-Boy-Scout,-The.html"
667,Last Chance Harvey,https://imsdb.com/Movie%20Scripts/Last%20Chance%20Harvey%20Script.html,Written by Joel Hopkins,https://imsdb.com/scripts/Last-Chance-Harvey.html
668,"Last Flight, The","https://imsdb.com/Movie%20Scripts/Last%20Flight,%20The%20Script.html",Written by John Monk Saunders,"https://imsdb.com/scripts/Last-Flight,-The.html"
669,"Last of the Mohicans, The","https://imsdb.com/Movie%20Scripts/Last%20of%20the%20Mohicans,%20The%20Script.html","Written by Michael Mann,Christopher Crowe","https://imsdb.com/scripts/Last-of-the-Mohicans,-The.html"
670,"Last Samurai, The","https://imsdb.com/Movie%20Scripts/Last%20Samurai,%20The%20Script.html","Written by John Logan,Edward Zwick,Marshall Herskovitz","https://imsdb.com/scripts/Last-Samurai,-The.html"
671,"Last Station, The","https://imsdb.com/Movie%20Scripts/Last%20Station,%20The%20Script.html","Written by Michael Hoffman,Jan Parini","https://imsdb.com/scripts/Last-Station,-The.html"
672,Last Tango in Paris,https://imsdb.com/Movie%20Scripts/Last%20Tango%20in%20Paris%20Script.html,"Written by Bernardo Bertolucci,Franco Arcalli",https://imsdb.com/scripts/Last-Tango-in-Paris.html
673,Law Abiding Citizen,https://imsdb.com/Movie%20Scripts/Law%20Abiding%20Citizen%20Script.html,"Written by Frank Darabont,Kurt Wimmer",https://imsdb.com/scripts/Law-Abiding-Citizen.html
674,Le Diable par la Queue,https://imsdb.com/Movie%20Scripts/Le%20Diable%20par%20la%20Queue%20Script.html,"Written by Daniel Boulanger,Claude Sautet",https://imsdb.com/scripts/Le-Diable-par-la-Queue.html
675,Leaving Las Vegas,https://imsdb.com/Movie%20Scripts/Leaving%20Las%20Vegas%20Script.html,"Written by Mike Figgis,John O'Brian",https://imsdb.com/scripts/Leaving-Las-Vegas.html
676,Legally Blonde,https://imsdb.com/Movie%20Scripts/Legally%20Blonde%20Script.html,"Written by Karen McCullah Lutz,Kirsten Smith",https://imsdb.com/scripts/Legally-Blonde.html
677,Legend,https://imsdb.com/Movie%20Scripts/Legend%20Script.html,Written by William Hjortsberg,https://imsdb.com/scripts/Legend.html
678,Legion,https://imsdb.com/Movie%20Scripts/Legion%20Script.html,"Written by Peter Schink,Scott Stewart",https://imsdb.com/scripts/Legion.html
679,"LEGO Movie, The","https://imsdb.com/Movie%20Scripts/LEGO%20Movie,%20The%20Script.html","Written by Chris Miller,Phil Lord","https://imsdb.com/scripts/LEGO-Movie,-The.html"
680,Les Miserables,https://imsdb.com/Movie%20Scripts/Les%20Miserables%20Script.html,"Written by William Nicholson,Alain Boublil,Claude- Michel Schonberg,Herbert Kretzmer",https://imsdb.com/scripts/Les-Miserables.html
681,Les Tontons Flingueurs,https://imsdb.com/Movie%20Scripts/Les%20Tontons%20Flingueurs%20Script.html,"Written by Michel Audiard,Georges Lautner,Albert Simonin",https://imsdb.com/scripts/Les-Tontons-Flingueurs.html
682,Lethal Weapon,https://imsdb.com/Movie%20Scripts/Lethal%20Weapon%20Script.html,Written by Shane Black,no script
683,Lethal Weapon 4,https://imsdb.com/Movie%20Scripts/Lethal%20Weapon%204%20Script.html,"Written by Channing Gibson,Jonathan Lemkin,Alfred Gough,Miles Millar",no script
684,Leviathan,https://imsdb.com/Movie%20Scripts/Leviathan%20Script.html,"Written by David Peoples,Jeb Stuart",https://imsdb.com/scripts/Leviathan.html
685,Liar Liar,https://imsdb.com/Movie%20Scripts/Liar%20Liar%20Script.html,"Written by Tom Shadyac,Mike Binder",https://imsdb.com/scripts/Liar-Liar.html
686,Life,https://imsdb.com/Movie%20Scripts/Life%20Script.html,"Written by Robert Ramsey,Matthew Stone",https://imsdb.com/scripts/Life.html
687,Life As A House,https://imsdb.com/Movie%20Scripts/Life%20As%20A%20House%20Script.html,Written by Mark Andrus,https://imsdb.com/scripts/Life-As-A-House.html
688,"Life of David Gale, The","https://imsdb.com/Movie%20Scripts/Life%20of%20David%20Gale,%20The%20Script.html",Written by Charles Randolph,"https://imsdb.com/scripts/Life-of-David-Gale,-The.html"
689,Life of Pi,https://imsdb.com/Movie%20Scripts/Life%20of%20Pi%20Script.html,"Written by David Magee,Yann Martel",https://imsdb.com/scripts/Life-of-Pi.html
690,Light Sleeper,https://imsdb.com/Movie%20Scripts/Light%20Sleeper%20Script.html,Written by Paul Schrader,https://imsdb.com/scripts/Light-Sleeper.html
691,"Limey, The","https://imsdb.com/Movie%20Scripts/Limey,%20The%20Script.html",Written by Lem Dobbs,"https://imsdb.com/scripts/Limey,-The.html"
692,Limitless,https://imsdb.com/Movie%20Scripts/Limitless%20Script.html,Written by Leslie Dixon,https://imsdb.com/scripts/Limitless.html
693,Lincoln,https://imsdb.com/Movie%20Scripts/Lincoln%20Script.html,Written by Tony Kushner,https://imsdb.com/scripts/Lincoln.html
694,"Lincoln Lawyer, The","https://imsdb.com/Movie%20Scripts/Lincoln%20Lawyer,%20The%20Script.html","Written by John Romano,Michael Connelly","https://imsdb.com/scripts/Lincoln-Lawyer,-The.html"
695,"Lion King, The","https://imsdb.com/Movie%20Scripts/Lion%20King,%20The%20Script.html","Written by Irene Mecchi,Jonathan Roberts","https://imsdb.com/scripts/Lion-King,-The.pdf"
696,Little Athens,https://imsdb.com/Movie%20Scripts/Little%20Athens%20Script.html,"Written by Jeff Zuber,Tom Zuber",https://imsdb.com/scripts/Little-Athens.html
697,Little Men,https://imsdb.com/Movie%20Scripts/Little%20Men%20Script.html,"Written by Ira Sachs,Mauricio Zacharias",https://imsdb.com/scripts/Little-Men.html
698,"Little Mermaid, The","https://imsdb.com/Movie%20Scripts/Little%20Mermaid,%20The%20Script.html","Written by Roger Allers,Hans Christian Andersen,Howard Ashman,Ron Clements,John Musker","https://imsdb.com/scripts/Little-Mermaid,-The.html"
699,Little Nicky,https://imsdb.com/Movie%20Scripts/Little%20Nicky%20Script.html,"Written by Tim Herlihy,Adam Sandler,Steven Brill",https://imsdb.com/scripts/Little-Nicky.html
700,Living in Oblivion,https://imsdb.com/Movie%20Scripts/Living%20in%20Oblivion%20Script.html,Written by Tom DiCillo,https://imsdb.com/scripts/Living-in-Oblivion.html
701,"Lock, Stock and Two Smoking Barrels","https://imsdb.com/Movie%20Scripts/Lock,%20Stock%20and%20Two%20Smoking%20Barrels%20Script.html",Written by Guy Ritchie,"https://imsdb.com/scripts/Lock,-Stock-and-Two-Smoking-Barrels.html"
702,Logan,https://imsdb.com/Movie%20Scripts/Logan%20Script.html,"Written by Scott Frank,James Mangold,Michael Green",https://imsdb.com/scripts/Logan.html
703,Logan's Run,https://imsdb.com/Movie%20Scripts/Logan's%20Run%20Script.html,Written by David Zelgan Goodman,https://imsdb.com/scripts/Logan's-Run.html
704,Lone Star,https://imsdb.com/Movie%20Scripts/Lone%20Star%20Script.html,Written by John Sayles,https://imsdb.com/scripts/Lone-Star.html
705,"Long Kiss Goodnight, The","https://imsdb.com/Movie%20Scripts/Long%20Kiss%20Goodnight,%20The%20Script.html",Written by Shane Black,"https://imsdb.com/scripts/Long-Kiss-Goodnight,-The.html"
706,Looper,https://imsdb.com/Movie%20Scripts/Looper%20Script.html,Written by Rian Johnson,https://imsdb.com/scripts/Looper.html
707,Lord of Illusions,https://imsdb.com/Movie%20Scripts/Lord%20of%20Illusions%20Script.html,Written by Clive Barker,https://imsdb.com/scripts/Lord-of-Illusions.html
708,"Lord of the Rings: Fellowship of the Ring, The","https://imsdb.com/Movie%20Scripts/Lord%20of%20the%20Rings:%20Fellowship%20of%20the%20Ring,%20The%20Script.html","Written by Frances Walsh,Philippa Boyens,Peter Jackson","https://imsdb.com/scripts/Lord-of-the-Rings-Fellowship-of-the-Ring,-The.html"
709,Lord of the Rings: Return of the King,https://imsdb.com/Movie%20Scripts/Lord%20of%20the%20Rings:%20Return%20of%20the%20King%20Script.html,"Written by Peter Jackson,Fran Walsh,Philippa Boyens",https://imsdb.com/scripts/Lord-of-the-Rings-Return-of-the-King.html
710,Lord of the Rings: The Two Towers,https://imsdb.com/Movie%20Scripts/Lord%20of%20the%20Rings:%20The%20Two%20Towers%20Script.html,"Written by Peter Jackson,Fran Walsh,Philippa Boyens",https://imsdb.com/scripts/Lord-of-the-Rings-The-Two-Towers.html
711,Lord of War,https://imsdb.com/Movie%20Scripts/Lord%20of%20War%20Script.html,Written by Andrew Niccol,https://imsdb.com/scripts/Lord-of-War.html
712,"Losers, The","https://imsdb.com/Movie%20Scripts/Losers,%20The%20Script.html","Written by Peter Berg,James Vanderbilt","https://imsdb.com/scripts/Losers,-The.html"
713,Lost Highway,https://imsdb.com/Movie%20Scripts/Lost%20Highway%20Script.html,"Written by David Lynch,Barry Gifford",https://imsdb.com/scripts/Lost-Highway.html
714,Lost Horizon,https://imsdb.com/Movie%20Scripts/Lost%20Horizon%20Script.html,"Written by James Hilton,Robert Riskin",https://imsdb.com/scripts/Lost-Horizon.html
715,Lost in Space,https://imsdb.com/Movie%20Scripts/Lost%20in%20Space%20Script.html,"Written by Irwin Allen,Akiva Goldsman",https://imsdb.com/scripts/Lost-in-Space.html
716,Lost in Translation,https://imsdb.com/Movie%20Scripts/Lost%20in%20Translation%20Script.html,Written by Sofia Coppola,https://imsdb.com/scripts/Lost-in-Translation.html
717,Love and Basketball,https://imsdb.com/Movie%20Scripts/Love%20and%20Basketball%20Script.html,Written by Gina Prince-Bythewood,https://imsdb.com/scripts/Love-and-Basketball.html
718,Machete,https://imsdb.com/Movie%20Scripts/Machete%20Script.html,Written by Robert Rodriguez,https://imsdb.com/scripts/Machete.html
719,Machine Gun Preacher,https://imsdb.com/Movie%20Scripts/Machine%20Gun%20Preacher%20Script.html,Written by Jason Keller,https://imsdb.com/scripts/Machine-Gun-Preacher.html
720,Mad Max 2: The Road Warrior,https://imsdb.com/Movie%20Scripts/Mad%20Max%202:%20The%20Road%20Warrior%20Script.html,"Written by Terry Hayes,George Miller,Brian Hannant",https://imsdb.com/scripts/Mad-Max-2-The-Road-Warrior.html
721,Made,https://imsdb.com/Movie%20Scripts/Made%20Script.html,Written by Jon Favreau,https://imsdb.com/scripts/Made.html
722,Magnolia,https://imsdb.com/Movie%20Scripts/Magnolia%20Script.html,Written by Paul Thomas Anderson,https://imsdb.com/scripts/Magnolia.html
723,"Majestic, The (The Bijou)","https://imsdb.com/Movie%20Scripts/Majestic,%20The%20(The%20Bijou)%20Script.html",Written by Michael Slone,"https://imsdb.com/scripts/Majestic,-The-(The-Bijou).html"
724,Major League,https://imsdb.com/Movie%20Scripts/Major%20League%20Script.html,Written by David S. Ward,https://imsdb.com/scripts/Major-League.html
725,Malcolm X,https://imsdb.com/Movie%20Scripts/Malcolm%20X%20Script.html,"Written by Spike Lee,Arnold Perl",https://imsdb.com/scripts/Malcolm-X.html
726,Malibu's Most Wanted,https://imsdb.com/Movie%20Scripts/Malibu's%20Most%20Wanted%20Script.html,"Written by Fax Bahr,Adam Small,Jamie Kennedy,Nick Swardson",https://imsdb.com/scripts/Malibu's-Most-Wanted.html
727,Man in the Iron Mask,https://imsdb.com/Movie%20Scripts/Man%20in%20the%20Iron%20Mask%20Script.html,Written by Randall Wallace,https://imsdb.com/scripts/Man-in-the-Iron-Mask.html
728,Man On Fire,https://imsdb.com/Movie%20Scripts/Man%20On%20Fire%20Script.html,Written by Brian Helgeland,https://imsdb.com/scripts/Man-On-Fire.html
729,Man on the Moon,https://imsdb.com/Movie%20Scripts/Man%20on%20the%20Moon%20Script.html,"Written by Scott Alexander,Larry Karaszewski",https://imsdb.com/scripts/Man-on-the-Moon.html
730,Man Trouble,https://imsdb.com/Movie%20Scripts/Man%20Trouble%20Script.html,Written by Carole Eastman,https://imsdb.com/scripts/Man-Trouble.html
731,"Man Who Knew Too Much, The","https://imsdb.com/Movie%20Scripts/Man%20Who%20Knew%20Too%20Much,%20The%20Script.html",Written by John Michael Hayes,"https://imsdb.com/scripts/Man-Who-Knew-Too-Much,-The.html"
732,"Man Who Wasn't There, The","https://imsdb.com/Movie%20Scripts/Man%20Who%20Wasn't%20There,%20The%20Script.html","Written by Joel Coen,Ethan Coen","https://imsdb.com/scripts/Man-Who-Wasn't-There,-The.html"
733,"Manchurian Candidate, The","https://imsdb.com/Movie%20Scripts/Manchurian%20Candidate,%20The%20Script.html","Written by Richard Condon,George Axelrod,Dean Georgaris","https://imsdb.com/scripts/Manchurian-Candidate,-The.html"
734,Manhattan Murder Mystery,https://imsdb.com/Movie%20Scripts/Manhattan%20Murder%20Mystery%20Script.html,"Written by Woody Allen,Marshall Brickman",https://imsdb.com/scripts/Manhattan-Murder-Mystery.html
735,Manhunter,https://imsdb.com/Movie%20Scripts/Manhunter%20Script.html,"Written by Thomas Harris,Michael Mann",https://imsdb.com/scripts/Manhunter.html
736,Margaret,https://imsdb.com/Movie%20Scripts/Margaret%20Script.html,Written by Kenneth Lonergan,https://imsdb.com/scripts/Margaret.html
737,Margin Call,https://imsdb.com/Movie%20Scripts/Margin%20Call%20Script.html,Written by J.C. Chandor,https://imsdb.com/scripts/Margin-Call.html
738,Margot at the Wedding,https://imsdb.com/Movie%20Scripts/Margot%20at%20the%20Wedding%20Script.html,Written by Noah Baumbach,https://imsdb.com/scripts/Margot-at-the-Wedding.html
739,"Mariachi, El","https://imsdb.com/Movie%20Scripts/Mariachi,%20El%20Script.html",Written by Robert Rodriguez,"https://imsdb.com/scripts/Mariachi,-El.html"
740,Marley & Me,https://imsdb.com/Movie%20Scripts/Marley%20&%20Me%20Script.html,Written by Don Roos,https://imsdb.com/scripts/
741,Martha Marcy May Marlene,https://imsdb.com/Movie%20Scripts/Martha%20Marcy%20May%20Marlene%20Script.html,Written by Sean Durkin,https://imsdb.com/scripts/Martha-Marcy-May-Marlene.html
742,"Martian, The","https://imsdb.com/Movie%20Scripts/Martian,%20The%20Script.html",Written by Drew Goddard,"https://imsdb.com/scripts/Martian,-The.html"
743,Marty,https://imsdb.com/Movie%20Scripts/Marty%20Script.html,Written by Paddy Chayefsky,https://imsdb.com/scripts/Marty.html
744,Mary Poppins,https://imsdb.com/Movie%20Scripts/Mary%20Poppins%20Script.html,"Written by Bill Walsh,Don DaGradi",https://imsdb.com/scripts/Mary-Poppins.html
745,"Mask, The","https://imsdb.com/Movie%20Scripts/Mask,%20The%20Script.html",Written by Mark Verheiden,"https://imsdb.com/scripts/Mask,-The.html"
746,Master and Commander,https://imsdb.com/Movie%20Scripts/Master%20and%20Commander%20Script.html,"Written by John Collee,Peter Weir",https://imsdb.com/scripts/Master-and-Commander.html
747,"Master, The","https://imsdb.com/Movie%20Scripts/Master,%20The%20Script.html",Written by Paul Thomas Anderson,"https://imsdb.com/scripts/Master,-The.html"
748,Matchstick Men,https://imsdb.com/Movie%20Scripts/Matchstick%20Men%20Script.html,"Written by Ted Griffin,Nick Griffin",no script
749,"Matrix Reloaded, The","https://imsdb.com/Movie%20Scripts/Matrix%20Reloaded,%20The%20Script.html","Written by Andy Wachowski,Larry Wachowski","https://imsdb.com/scripts/Matrix-Reloaded,-The.html"
750,"Matrix, The","https://imsdb.com/Movie%20Scripts/Matrix,%20The%20Script.html","Written by Larry Wachowski,Andy Wachowski","https://imsdb.com/scripts/Matrix,-The.html"
751,Max Payne,https://imsdb.com/Movie%20Scripts/Max%20Payne%20Script.html,Written by Beau Michael Thorne,https://imsdb.com/scripts/Max-Payne.html
752,Mean Streets,https://imsdb.com/Movie%20Scripts/Mean%20Streets%20Script.html,"Written by Martin Scorsese,Mardik Martin,Ethan Edwards",https://imsdb.com/scripts/Mean-Streets.html
753,"Mechanic, The","https://imsdb.com/Movie%20Scripts/Mechanic,%20The%20Script.html","Written by Karl Gajdusek,Lewis John Carlino","https://imsdb.com/scripts/Mechanic,-The.html"
754,Meet Joe Black,https://imsdb.com/Movie%20Scripts/Meet%20Joe%20Black%20Script.html,"Written by Bo Goldman,Ron Osborn,Jeff Reno,Kevin Wade",https://imsdb.com/scripts/Meet-Joe-Black.html
755,Meet John Doe,https://imsdb.com/Movie%20Scripts/Meet%20John%20Doe%20Script.html,"Written by Richard Connell,Robert Presnell Sr.",https://imsdb.com/scripts/Meet-John-Doe.html
756,Megamind,https://imsdb.com/Movie%20Scripts/Megamind%20Script.html,"Written by Alan Schoolcraft,Brent Simons",https://imsdb.com/scripts/Megamind.html
757,Memento,https://imsdb.com/Movie%20Scripts/Memento%20Script.html,"Written by Christopher Nolan,Jonathan Nolan",https://imsdb.com/scripts/Memento.html
758,Men in Black,https://imsdb.com/Movie%20Scripts/Men%20in%20Black%20Script.html,"Written by Lowell Cunningham,Ed Solomon",https://imsdb.com/scripts/Men-in-Black.html
759,Men in Black 3,https://imsdb.com/Movie%20Scripts/Men%20in%20Black%203%20Script.html,"Written by Etan Cohen,Lowell Cunningham",https://imsdb.com/scripts/Men-in-Black-3.html
760,"Men Who Stare at Goats, The","https://imsdb.com/Movie%20Scripts/Men%20Who%20Stare%20at%20Goats,%20The%20Script.html","Written by Peter Straughan,Jon Ronson","https://imsdb.com/scripts/Men-Who-Stare-at-Goats,-The.html"
761,Metro,https://imsdb.com/Movie%20Scripts/Metro%20Script.html,Written by Randy Feldman,https://imsdb.com/scripts/Metro.html
762,Miami Vice,https://imsdb.com/Movie%20Scripts/Miami%20Vice%20Script.html,"Written by Michael Mann,Anthony Yerkovich",https://imsdb.com/scripts/Miami-Vice.html
763,Midnight Cowboy,https://imsdb.com/Movie%20Scripts/Midnight%20Cowboy%20Script.html,"Written by James Leo Herlihy,Waldo Salt",https://imsdb.com/scripts/Midnight-Cowboy.html
764,Midnight Express,https://imsdb.com/Movie%20Scripts/Midnight%20Express%20Script.html,"Written by Oliver Stone,Billy Hayes,William Hoffer",https://imsdb.com/scripts/Midnight-Express.html
765,Midnight in Paris,https://imsdb.com/Movie%20Scripts/Midnight%20in%20Paris%20Script.html,Written by Woody Allen,https://imsdb.com/scripts/Midnight-in-Paris.html
766,Mighty Joe Young,https://imsdb.com/Movie%20Scripts/Mighty%20Joe%20Young%20Script.html,"Written by Mark Rosenthal,Lawrence Konner,Ruth Rose",https://imsdb.com/scripts/Mighty-Joe-Young.html
767,Mighty Morphin Power Rangers: The Movie,https://imsdb.com/Movie%20Scripts/Mighty%20Morphin%20Power%20Rangers:%20The%20Movie%20Script.html,"Written by John Kamps,Arne Olsen",https://imsdb.com/scripts/Mighty-Morphin-Power-Rangers-The-Movie.html
768,Milk,https://imsdb.com/Movie%20Scripts/Milk%20Script.html,Written by Dustin Lance Black,https://imsdb.com/scripts/Milk.html
769,Miller's Crossing,https://imsdb.com/Movie%20Scripts/Miller's%20Crossing%20Script.html,"Written by Joel Coen,Ethan Coen",https://imsdb.com/scripts/Miller's-Crossing.html
770,Mimic,https://imsdb.com/Movie%20Scripts/Mimic%20Script.html,"Written by Matt Greenberg,Guillermo del Toro",https://imsdb.com/scripts/Mimic.html
771,Mini's First Time,https://imsdb.com/Movie%20Scripts/Mini's%20First%20Time%20Script.html,Written by Nick Guthe,https://imsdb.com/scripts/Mini's-First-Time.html
772,Minority Report,https://imsdb.com/Movie%20Scripts/Minority%20Report%20Script.html,Written by Scott Frank,https://imsdb.com/scripts/Minority-Report.html
773,"Miracle Worker, The","https://imsdb.com/Movie%20Scripts/Miracle%20Worker,%20The%20Script.html",Written by William Gibson,"https://imsdb.com/scripts/Miracle-Worker,-The.html"
774,Mirrors,https://imsdb.com/Movie%20Scripts/Mirrors%20Script.html,"Written by Alexandre Aja,Gregory Levasseur",https://imsdb.com/scripts/Mirrors.html
775,Misery,https://imsdb.com/Movie%20Scripts/Misery%20Script.html,Written by William Goldman,https://imsdb.com/scripts/Misery.html
776,Mission Impossible,https://imsdb.com/Movie%20Scripts/Mission%20Impossible%20Script.html,Written by Robert Towne,https://imsdb.com/scripts/Mission-Impossible.html
777,Mission Impossible II,https://imsdb.com/Movie%20Scripts/Mission%20Impossible%20II%20Script.html,Written by Robert Towne,https://imsdb.com/scripts/Mission-Impossible-II.html
